"DATE","DAT","TREAT","NO","SAMP_PART","DW","N"
2021-12-04,68,"LN",1,"Stem",13.72,2.19
2021-12-04,68,"LN",2,"Stem",10.5,1.57
2021-12-04,68,"LN",3,"Stem",14.76,1.61
2021-12-04,68,"MN",1,"Stem",10.6,1.89
2021-12-04,68,"MN",2,"Stem",13.37,1.83
2021-12-04,68,"MN",3,"Stem",16.43,1.8
2021-12-04,68,"HN",1,"Stem",24.79,2.21
2021-12-04,68,"HN",2,"Stem",17.69,1.87
2021-12-04,68,"HN",3,"Stem",21.1,2.21
2021-12-04,68,"LN",1,"Leaf",9.38,3.68
2021-12-04,68,"LN",2,"Leaf",6.54,3.5
2021-12-04,68,"LN",3,"Leaf",8.9,3.86
2021-12-04,68,"MN",1,"Leaf",7.48,3.92
2021-12-04,68,"MN",2,"Leaf",9.02,4.57
2021-12-04,68,"MN",3,"Leaf",10.71,3.84
2021-12-04,68,"HN",1,"Leaf",17.88,4.31
2021-12-04,68,"HN",2,"Leaf",11.9,3.6
2021-12-04,68,"HN",3,"Leaf",14.03,3.52
2021-12-11,75,"LN",1,"Stem",31.56,1.69
2021-12-11,75,"LN",2,"Stem",24.55,1.68
2021-12-11,75,"LN",3,"Stem",17.85,1.67
2021-12-11,75,"MN",1,"Stem",17.26,2.29
2021-12-11,75,"MN",2,"Stem",20.48,1.73
2021-12-11,75,"MN",3,"Stem",9.43,2.31
2021-12-11,75,"HN",1,"Stem",26,2.19
2021-12-11,75,"HN",2,"Stem",21.94,2.95
2021-12-11,75,"HN",3,"Stem",28.75,1.96
2021-12-11,75,"LN",1,"Leaf",16.58,4.01
2021-12-11,75,"LN",2,"Leaf",14.18,4.02
2021-12-11,75,"LN",3,"Leaf",10.34,4.04
2021-12-11,75,"MN",1,"Leaf",10.71,3.96
2021-12-11,75,"MN",2,"Leaf",12.03,3.66
2021-12-11,75,"MN",3,"Leaf",7.17,4.19
2021-12-11,75,"HN",1,"Leaf",18.35,5.24
2021-12-11,75,"HN",2,"Leaf",15.37,5.1
2021-12-11,75,"HN",3,"Leaf",19.37,4.62
2022-05-09,57,"LN",1,"Stem",16.68,0.8
2022-05-09,57,"LN",2,"Stem",22.18,0.88
2022-05-09,57,"LN",3,"Stem",22.95,0.7
2022-05-09,57,"MN",1,"Stem",22.56,1.01
2022-05-09,57,"MN",2,"Stem",26.3,1.17
2022-05-09,57,"MN",3,"Stem",28.69,1.24
2022-05-09,57,"HN",1,"Stem",35.77,1.3
2022-05-09,57,"HN",2,"Stem",34.88,1.11
2022-05-09,57,"HN",3,"Stem",28.98,0.91
2022-05-09,57,"LN",1,"Leaf",11.68,3.16
2022-05-09,57,"LN",2,"Leaf",14.87,3.12
2022-05-09,57,"LN",3,"Leaf",15.72,3.12
2022-05-09,57,"MN",1,"Leaf",15.77,3.31
2022-05-09,57,"MN",2,"Leaf",18.81,3.2
2022-05-09,57,"MN",3,"Leaf",19.35,3.44
2022-05-09,57,"HN",1,"Leaf",24.32,3.79
2022-05-09,57,"HN",2,"Leaf",23.13,3.65
2022-05-09,57,"HN",3,"Leaf",17.53,3.55
2022-05-16,64,"LN",1,"Stem",25.9,0.37
2022-05-16,64,"LN",2,"Stem",29.23,0.14
2022-05-16,64,"LN",3,"Stem",27.79,0.63
2022-05-16,64,"MN",1,"Stem",27.61,0.96
2022-05-16,64,"MN",2,"Stem",36.61,0.85
2022-05-16,64,"MN",3,"Stem",21.12,0.77
2022-05-16,64,"HN",1,"Stem",29.56,0.89
2022-05-16,64,"HN",2,"Stem",39,0.67
2022-05-16,64,"HN",3,"Stem",41.8,0.75
2022-05-16,64,"LN",1,"Leaf",18.19,3.03
2022-05-16,64,"LN",2,"Leaf",21.91,2.74
2022-05-16,64,"LN",3,"Leaf",18.08,2.92
2022-05-16,64,"MN",1,"Leaf",19.97,3.61
2022-05-16,64,"MN",2,"Leaf",24.35,3.19
2022-05-16,64,"MN",3,"Leaf",17.43,3.52
2022-05-16,64,"HN",1,"Leaf",21.99,4.32
2022-05-16,64,"HN",2,"Leaf",27.82,3.96
2022-05-16,64,"HN",3,"Leaf",28.82,4.88
